"id","latitude","longitude","elevation","state","name"
"RSM00022721","62.9170","34.4330","81.0","","MEDVEZEGORSK"
"RSM00022723","62.9670","35.7000","139.0","","DANILOVO"
"RSM00022727","62.1670","34.3000","38.0","","KONDOPOGA"
"RSM00022738","62.2330","36.8830","147.0","","KUGONAVOLOK"
"RSM00022762","62.8670","42.7170","34.0","","DVINSKIJ BEREZNIK"
"RSM00022768","62.1000","42.9000","47.0","","SHENKURSK"
"RSM00022778","62.2330","45.0170","58.0","","VERHNJAJA TOJMA"
"RSM00022798","62.1670","49.1170","92.0","","JARENSK"
"RSM00022802","61.7167","30.7167","17.0","","SORTAVALA"
"RSM00022816","61.6830","33.6170","133.0","","PRIAZA"
"RSM00022820","61.8167","34.2667","110.0","","PETROZAWODSK"
"RSM00022831","61.8000","36.5170","44.0","","PUDOZ"
"RSM00022833","61.7830","37.7500","116.0","","KOLODOZERO"
"RSM00022837","61.0167","36.4500","55.0","","VYTEGRA"
"RSM00022845","61.5000","38.9300","124.0","","KARGOPOL"
"RSM00022854","61.7000","40.2000","233.0","","NJANDOMA"
"RSM00022867","61.0830","42.0670","91.0","","VELSK"
"RSM00022887","61.2331","46.7167","56.0","","KOTLAS"
"RSM00022892","60.7200","28.8000","14.0","","VYBORG"
"RSM00022907","60.0800","26.9700","6.0","","GOGLAND"
"RSM00022912","60.9830","32.9830","12.0","","OLONEC"
"RSM00022913","60.7170","33.5500","23.0","","LODEJNOE POLE"
"RSM00022915","60.4670","32.9000","8.0","","SVIRICA"
"RSM00022917","60.1170","32.3170","9.0","","NOVAJA LADOGA"
"RSM00022925","60.6330","34.7830","111.0","","VINNICY"
"RSM00022939","60.0330","37.7830","131.0","","BELOZERSK"
"RSM00022954","60.4670","40.2000","202.0","","VOZEGA"
"RSM00022981","60.8000","46.3000","98.0","","VELIKIJ_USTJUG"
"RSM00022996","60.3670","49.6500","152.0","","OBJACEVO"
"RSM00023022","69.7500","61.7000","53.0","","AMDERMA"
"RSM00023032","69.7200","66.8194","24.0","","MARRE-SALE"
"RSM00023058","69.0800","76.9000","2.0","","ANTIPAJUTA"
"RSM00023074","69.4000","86.1700","14.0","","DUDINKA"
"RSM00023114","68.5500","55.5000","5.0","","MYS KONSTANTINOVSKII"
"RSM00023146","68.4667","73.5831","2.0","","MYS KAMENNYJ"
"RSM00023205","67.6331","53.0331","5.0","","NARJAN MAR"
"RSM00023207","67.0170","51.2000","18.0","","KOTKINO"
"RSM00023219","67.0831","59.3831","84.0","","HOSEDA HARD"
"RSM00023220","67.0500","64.0697","113.0","","ELEZKAJA"
"RSM00023226","67.4830","64.0160","172.0","","VORKUTA"
"RSM00023242","67.6994","72.9494","12.0","","NOVY-PORT"
"RSM00023256","67.4700","78.7300","26.0","","TAZOVSKOE"
"RSM00023274","67.4700","86.5700","20.0","","IGARKA"
"RSM00023305","66.2500","52.5830","20.0","","OKUNEV NOS"
"RSM00023324","66.4300","60.7700","58.0","","PETRUN"
"RSM00023330","66.5294","66.5294","15.0","","SALEKHARD"
"RSM00023331","66.9000","65.6700","895.0","","RA-IZ"
"RSM00023345","66.5997","72.9000","5.0","","NYDA"
"RSM00023365","66.5997","82.3000","34.0","","SIDOROVSK"
"RSM00023383","66.8797","93.4700","277.0","","AGATA"
"RSM00023405","65.4331","52.2667","78.0","","UST TZILMA"
"RSM00023412","65.9700","56.9194","77.0","","UST-USA"
"RSM00023418","65.1167","57.1000","53.0","","PECHORA"
"RSM00023426","65.3820","64.7170","19.0","","MUZI"
"RSM00023445","65.4700","72.6700","14.0","","NADYM"
"RSM00023463","65.9800","84.2700","41.0","","JANOV STAN"
"RSM00023472","65.7831","87.9331","38.0","","TURUHANSK"
"RSM00023514","64.5200","55.4000","156.0","","IRAEL"
"RSM00023518","64.2660","57.6170","75.0","","UST-SUGOR"
"RSM00023527","64.2800","60.8800","28.0","","SARAN-PAUL"
"RSM00023552","64.9200","77.8200","26.0","","TARKO-SALE"
"RSM00023585","64.4200","93.0800","88.0","","KOCHUMDEK"
"RSM00023589","64.2000","93.7800","105.0","","TUTONCHANY"
"RSM00023606","63.5500","53.8170","137.0","","UHTA"
"RSM00023625","63.6500","62.1000","28.0","","SOSVA"
"RSM00023631","63.9300","65.0500","27.0","","BEREZOVO"
"RSM00023656","63.3800","78.3200","66.0","","HALESOVAJA"
"RSM00023662","63.9800","82.0800","31.0","","TOLKA"
"RSM00023678","63.1500","87.9500","46.0","","VERHNEIMBATSK"
"RSM00023701","62.9000","50.9000","103.0","","VESLJANA"
"RSM00023707","62.2300","50.4200","106.0","","UST-VUM"
"RSM00023711","62.7000","56.2000","135.0","","TROICKO-PECHERSKOE"
