id,latitude,longitude,elevation,state,name,ADM0_EN,ADM0_KK,ADM0_RU,ADM0_PCODE,ADM1_EN,ADM1_KK,ADM1_RU,ADM1_PCODE
KZ000035053,52.4,64.6,"110",,KUSMURUN,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Kostanay,Қостанай,Костанайская,KZ39
KZ000035055,52,63.7,"214",,DIEVSKAYA,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Kostanay,Қостанай,Костанайская,KZ39
KZ000035156,51.5,64.5,"129",,NAURSUMSKIY_ZAPOVEDNIK,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Kostanay,Қостанай,Костанайская,KZ39
KZ000035157,51.1,62.9,"258",,BES-TAU,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Kostanay,Қостанай,Костанайская,KZ39
KZ000035257,50.45,62.8,"183",,APPROXIMATE LOCALE,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Kostanay,Қостанай,Костанайская,KZ39
KZ000035259,50.5,64.2,"105",,ARAL,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Kostanay,Қостанай,Костанайская,KZ39
KZ000035358,49.63,63.5,"124",,TURGAJ,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Kostanay,Қостанай,Костанайская,KZ39
KZ000035361,50.1,65.5,"142",,AMANGEL'DY,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Kostanay,Қостанай,Костанайская,KZ39
KZ000035363,50.217,66.833,"343",,ARKALYK,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Kostanay,Қостанай,Костанайская,KZ39
KZ000035368,49.5,66.1,"210",,EKIDIN,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Kostanay,Қостанай,Костанайская,KZ39
KZ000035459,49,64.2,"122",,SARLITAM,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Kostanay,Қостанай,Костанайская,KZ39
KZ000035467,48.9,65.533,"223",,BRALI,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Kostanay,Қостанай,Костанайская,KZ39
KZ000028676,54.8331,69.15,"142",,PETROPAVLOVSK,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,North Kazakhstan,Солтүстiк Қазақстан,Северо-Казахстанская,KZ59
KZ000028687,54.9,70.45,"134",,BULAYEVO,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,North Kazakhstan,Солтүстiк Қазақстан,Северо-Казахстанская,KZ59
KZ000028766,54.367,66.967,"153",,BLACOVESCHENKA,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,North Kazakhstan,Солтүстiк Қазақстан,Северо-Казахстанская,KZ59
KZ000028775,54.4,68.4,"115",,JAVLENKA,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,North Kazakhstan,Солтүстiк Қазақстан,Северо-Казахстанская,KZ59
KZ000028779,54.2,69.5,"139",,CHAGLI,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,North Kazakhstan,Солтүстiк Қазақстан,Северо-Казахстанская,KZ59
KZ000028785,54.433,70.917,"127",,VOZVISHEN SOVKHOZ,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,North Kazakhstan,Солтүстiк Қазақстан,Северо-Казахстанская,KZ59
