"id","latitude","longitude","elevation","state","name"
"KZ000035284","50.5830","70.0000","330.0","","KURGALJINO"
"KZ000035288","50.5000","71.5000","383.0","","CHERNIGOVKA"
"KZ000035295","50.7000","73.5000","446.0","","MOLODEJNIY"
"KZ000035302","50.2000","51.1670","17.0","","CHAPAEVO"
"KZ000035315","49.7000","53.5000","44.0","","KARA-TUBE,AMSG"
"KZ000035321","50.2000","55.6000","142.0","","NOVOALEKSEEVKA"
"KZ000035325","50.0000","56.3000","350.0","","ILINSKIY"
"KZ000035331","50.2000","58.0000","416.0","","NOVOROSSIYSKOE"
"KZ000035332","50.1000","59.1000","283.0","","BUGETSAY"
"KZ000035344","49.9500","60.1330","229.0","","KARABUTAK"
"KZ000035345","49.8000","61.4000","229.0","","BAS-KUDUK"
"KZ000035358","49.6300","63.5000","124.0","","TURGAJ"
"KZ000035361","50.1000","65.5000","142.0","","AMANGEL'DY"
"KZ000035363","50.2170","66.8330","343.0","","ARKALYK"
"KZ000035368","49.5000","66.1000","210.0","","EKIDIN"
"KZ000035376","49.8830","69.5170","349.0","","BERLIK"
"KZ000035381","50.2000","70.3000","370.0","","17_LET_OKTYABRYA"
"KZ000035386","49.9000","71.8000","422.0","","ZERNOSOVCOZ-IMENY-CKALOVA"
"KZ000035391","50.2000","72.8000","515.0","","KARAGANDINSKAYA,SOVHOZ"
"KZ000035394","49.8000","73.1500","553.0","","KARAGANDA"
"KZ000035396","49.4000","74.5000","715.0","","BES-OBA"
"KZ000035397","49.6000","72.8000","492.0","","IMENI_MICHURINA,SOVHOZ"
"KZ000035401","49.5000","50.5000","5.0","","PYATIMAR"
"KZ000035406","49.0500","51.8667","2.0","","TAIPAK"
"KZ000035416","49.0667","54.6831","128.0","","UIL"
"KZ000035426","49.1500","57.1170","234.0","","TEMIR"
"KZ000035427","48.9000","55.7000","142.0","","TEREKTI"
"KZ000035430","49.2500","59.5500","260.0","","TALDYK"
"KZ000035436","49.2330","57.6670","234.0","","JURUN-IN-KAZAKH"
"KZ000035437","48.8170","58.1500","230.0","","EMBA"
"KZ000035441","48.9000","53.7000","39.0","","MIYALI"
"KZ000035449","48.8330","62.1000","82.0","","NURA"
"KZ000035459","49.0000","64.2000","122.0","","SARLITAM"
"KZ000035467","48.9000","65.5330","223.0","","BRALI"
"KZ000035478","48.8830","68.0830","506.0","","ALGABAS"
"KZ000035497","48.8500","72.8670","656.0","","ZHARYK"
"KZ000035498","48.8000","73.7000","724.0","","AKSU-AYULI"
"KZ000035506","48.6000","51.7000","32.0","","INDERBORSKIY,AMSG"
"KZ000035514","48.4500","52.9170","0.0","","KARABAU"
"KZ000035519","48.2000","54.8000","55.0","","SAGIZ"
"KZ000035522","48.7330","56.0330","186.0","","KARAUL KELDY"
"KZ000035529","48.2170","57.1170","151.0","","KOZASAJ"
"KZ000035532","48.6330","58.5000","398.0","","MUGODZARSKAJA"
"KZ000035535","48.5000","58.6000","409.0","","BERCHOGUR"
"KZ000035542","48.6167","61.2667","156.0","","IRGIZ"
