id,latitude,longitude,elevation,state,name
RSM00037107,43.6,40.2,566,,KRASNAJA POLJANA
RSM00037171,43.433,39.9,13,,ADLER
RSM00027848,53.45,41.8,144,,MORSANSK
RSM00027935,52.883,40.483,158,,MICURINSK
RSM00027947,52.7331,41.4667,160,,TAMBOV
RSM00027957,52.667,42.717,130,,KIRSANOV
RSM00034047,51.833,41.483,147,,ZERDEVKA
RSM00034110,51.17,37.35,223,,BOGORODITSKOYE-FENINO
RSM00034116,51.3,37.883,218,,STARYJ OSKOL
RSM00034202,50.8,35.8164,226,,GOTNJA
RSM00034213,50.75,37.867,140,,NOVYJ OSKOL
RSM00034214,50.633,36.583,224,,BELGOROD
RSM00034321,50.2,38.1,112,,VALUJKI
