STATION,DATE,DP01,DP01_ATTRIBUTES,DP05,DP05_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES
UPM00033475,1969,139,I,,,59,I,,,,,,,,,,,,,,,552.1," ,I",,
UPM00033475,1970,171,I,,,79,I,,,,,,,,,,,,,,,776.2," ,I",,
UPM00033475,1972,88,I,,,50,I,,,,,,,,,,,,,,,514.7," ,I",,
UPM00033475,1973,117,I,,,53,I,,,,,,,,,,,,,,,440.3," ,I",,
UPM00033475,1974,109,I,,,52,I,,,,,,,,,,,,,,,524," ,I",,
UPM00033475,1979,128,I,,,57,I,,,,,,,,,,,,,,,544.5," ,I",,
UPM00033475,1980,155,I,,,69,I,,,,,,,,,,,,,,,659.1," ,I",,
UPM00033475,1981,120,I,,,55,I,,,,,,,,,,,,,,,568.8," ,I",,
UPM00033475,1982,108,I,,,45,I,,,,,,,,,,,,,,,490.5," ,I",,
UPM00033475,1984,126,I,,,55,I,,,,,,,,,,,,,,,504.8," ,I",,
UPM00033475,1985,120,I,,,66,I,,,,,,,,,,,,,,,561.3," ,I",,
UPM00033475,1986,91,I,,,51,I,,,,,,,,,,,,,,,384.5," ,I",,
UPM00033475,1987,97,I,,,47,I,,,,,,,,,,,,,,,393.9," ,I",,
UPM00033475,1988,118,I,,,56,I,,,,,,,,,,,,,,,568," ,I",,
UPM00033475,1989,115,I,,,47,I,,,,,,,,,,,,,,,545.5," ,I",,
UPM00033475,1990,133,I,,,57,I,,,,,,,,,,,,,,,591.4," ,I",,
UPM00033484,1961,97,I,,,41,I,,,,,,,,,,,,,,,379.4," ,I",,
UPM00033484,1962,108,I,,,44,I,,,,,,,,,,,,,,,433.5," ,I",,
UPM00033484,1963,102,I,,,40,I,,,,,,,,,,,,,,,464," ,I",,
UPM00033484,1965,127,I,,,59,I,,,,,,,,,,,,,,,622.9," ,I",,
UPM00033484,1966,158,I,,,79,I,,,,,,,,,,,,,,,798.7," ,I",,
UPM00033484,1967,147,I,,,58,I,,,,,,,,,,,,,,,582.5," ,I",,
UPM00033484,1969,119,I,,,53,I,,,,,,,,,,,,,,,543.3," ,I",,
UPM00033484,1970,158,I,,,74,I,,,,,,,,,,,,,,,694.3," ,I",,
UPM00033484,1972,81,I,,,41,I,,,,,,,,,,,,,,,402.4," ,I",,
UPM00033484,1973,116,I,,,62,I,,,,,,,,,,,,,,,542.2," ,I",,
UPM00033484,1975,91,I,,,35,I,,,,,,,,,,,,,,,352.8," ,I",,
UPM00033484,1979,142,I,,,65,I,,,,,,,,,,,,,,,608.8," ,I",,
UPM00033484,1980,164,I,,,75,I,,,,,,,,,,,,,,,722.8," ,I",,
UPM00033484,1982,104,I,,,47,I,,,,,,,,,,,,,,,503.5," ,I",,
UPM00033484,1984,130,I,,,59,I,,,,,,,,,,,,,,,572.6," ,I",,
UPM00033484,1985,135,I,,,71,I,,,,,,,,,,,,,,,677.8," ,I",,
UPM00033484,1986,101,I,,,50,I,,,,,,,,,,,,,,,427.5," ,I",,
UPM00033484,1987,128,I,,,56,I,,,,,,,,,,,,,,,440," ,I",,
UPM00033484,1988,118,I,,,58,I,,,,,,,,,,,,,,,595.1," ,I",,
UPM00033484,1989,119,I,,,55,I,,,,,,,,,,,,,,,571.5," ,I",,
UPM00033484,1990,124,I,,,61,I,,,,,,,,,,,,,,,572.6," ,I",,
UPM00033484,2001,,,,,,,,,,,1,u,108,u,44,u,110,u,16,u,,,,
UPM00033487,1961,106,I,,,43,I,,,,,,,,,,,,,,,374.6," ,I",,
UPM00033487,1962,110,I,,,51,I,,,,,,,,,,,,,,,437.5," ,I",,
UPM00033487,1963,102,I,,,43,I,,,,,,,,,,,,,,,403.1," ,I",,
UPM00033487,1964,114,I,,,54,I,,,,,,,,,,,,,,,542.2," ,I",,
UPM00033487,1966,163,I,,,82,I,,,,,,,,,,,,,,,758.4," ,I",,
UPM00033487,1968,124,I,,,59,I,,,,,,,,,,,,,,,471.7," ,I",,
UPM00033487,1969,114,I,,,56,I,,,,,,,,,,,,,,,494.6," ,I",,
UPM00033487,1970,138,I,,,65,I,,,,,,,,,,,,,,,624.2," ,I",,
UPM00033487,1972,82,I,,,35,I,,,,,,,,,,,,,,,350.7," ,I",,
UPM00033487,1974,99,I,,,48,I,,,,,,,,,,,,,,,470," ,I",,
UPM00033487,1977,142,I,,,71,I,,,,,,,,,,,,,,,599.5," ,I",,
UPM00033487,1979,136,I,,,58,I,,,,,,,,,,,,,,,529.2," ,I",,
UPM00033487,1980,153,I,,,77,I,,,,,,,,,,,,,,,725.5," ,I",,
UPM00033487,1981,136,I,,,69,I,,,,,,,,,,,,,,,711.2," ,I",,
UPM00033487,1982,104,I,,,43,I,,,,,,,,,,,,,,,331.2," ,I",,
UPM00033487,1984,140,I,,,67,I,,,,,,,,,,,,,,,521," ,I",,
UPM00033487,1985,130,I,,,61,I,,,,,,,,,,,,,,,570.9," ,I",,
UPM00033487,1986,96,I,,,42,I,,,,,,,,,,,,,,,416.8," ,I",,
UPM00033487,1987,118,I,,,47,I,,,,,,,,,,,,,,,409.9," ,I",,
UPM00033487,1988,117,I,,,64,I,,,,,,,,,,,,,,,576.8," ,I",,
UPM00033487,1989,115,I,,,50,I,,,,,,,,,,,,,,,448.6," ,I",,
UPM00033487,1990,123,I,,,54,I,,,,,,,,,,,,,,,525.2," ,I",,
UPM00033487,2001,,,,,,,,,,,5,u,107,u,40,u,98,u,7,u,,,,
UPM00033581,1962,125,I,,,68,I,,,,,,,,,,,,,,,507.9," ,I",,
UPM00033581,1963,108,I,,,48,I,,,,,,,,,,,,,,,475," ,I",,
UPM00033581,1964,137,I,,,59,I,,,,,,,,,,,,,,,530.1," ,I",,
UPM00033581,1965,125,I,,,58,I,,,,,,,,,,,,,,,523.4," ,I",,
UPM00033581,1966,154,I,,,81,I,,,,,,,,,,,,,,,819.4," ,I",,
UPM00033581,1967,142,I,,,61,I,,,,,,,,,,,,,,,608.7," ,I",,
UPM00033581,1968,148,I,,,70,I,,,,,,,,,,,,,,,710.2," ,I",,
UPM00033581,1969,127,I,,,64,I,,,,,,,,,,,,,,,595.7," ,I",,
UPM00033581,1970,166,I,,,80,I,,,,,,,,,,,,,,,804.5," ,I",,
UPM00033581,1971,163,I,,,67,I,,,,,,,,,,,,,,,632," ,I",,
UPM00033581,1972,112,I,,,57,I,,,,,,,,,,,,,,,537.6," ,I",,
UPM00033581,1973,122,I,,,52,I,,,,,,,,,,,,,,,502.4," ,I",,
UPM00033581,1974,145,I,,,57,I,,,,,,,,,,,,,,,579," ,I",,
UPM00033581,1975,121,I,,,49,I,,,,,,,,,,,,,,,465," ,I",,
UPM00033581,1977,131,I,,,64,I,,,,,,,,,,,,,,,539.5," ,I",,
UPM00033581,1979,137,I,,,68,I,,,,,,,,,,,,,,,723.2," ,I",,
UPM00033581,1980,167,I,,,80,I,,,,,,,,,,,,,,,813.3," ,I",,
UPM00033581,1981,132,I,,,69,I,,,,,,,,,,,,,,,688.6," ,I",,
UPM00033581,1982,114,I,,,62,I,,,,,,,,,,,,,,,591.8," ,I",,
UPM00033581,1984,147,I,,,66,I,,,,,,,,,,,,,,,590.5," ,I",,
UPM00033581,1985,131,I,,,63,I,,,,,,,,,,,,,,,638.6," ,I",,
UPM00033581,1986,104,I,,,47,I,,,,,,,,,,,,,,,455.9," ,I",,
UPM00033581,1987,120,I,,,59,I,,,,,,,,,,,,,,,540.5," ,I",,
UPM00033581,1988,130,I,,,63,I,,,,,,,,,,,,,,,570.2," ,I",,
UPM00033581,1989,123,I,,,58,I,,,,,,,,,,,,,,,673.8," ,I",,
UPM00033581,1990,130,I,,,64,I,,,,,,,,,,,,,,,600.9," ,I",,
UPM00033586,1961,100,I,,,39,I,,,,,,,,,,,,,,,378.3," ,I",,
UPM00033586,1962,110,I,,,62,I,,,,,,,,,,,,,,,526.7," ,I",,
UPM00033586,1963,103,I,,,45,I,,,,,,,,,,,,,,,453.8," ,I",,
UPM00033586,1964,97,I,,,47,I,,,,,,,,,,,,,,,466.6," ,I",,
UPM00033586,1965,122,I,,,52,I,,,,,,,,,,,,,,,540.5," ,I",,
UPM00033586,1966,153,I,,,80,I,,,,,,,,,,,,,,,836.6," ,I",,
UPM00033586,1967,145,I,,,56,I,,,,,,,,,,,,,,,508.7," ,I",,
UPM00033586,1968,159,I,,,67,I,,,,,,,,,,,,,,,619," ,I",,
UPM00033586,1970,164,I,,,76,I,,,,,,,,,,,,,,,761.2," ,I",,
UPM00033586,1972,94,I,,,48,I,,,,,,,,,,,,,,,443.2," ,I",,
UPM00033586,1973,124,I,,,48,I,,,,,,,,,,,,,,,521," ,I",,
UPM00033586,1974,112,I,,,54,I,,,,,,,,,,,,,,,595.5," ,I",,
UPM00033586,1975,111,I,,,39,I,,,,,,,,,,,,,,,382.9," ,I",,
UPM00033586,1977,146,I,,,74,I,,,,,,,,,,,,,,,686.4," ,I",,
UPM00033586,1979,137,I,,,70,I,,,,,,,,,,,,,,,669.3," ,I",,
UPM00033586,1980,177,I,,,83,I,,,,,,,,,,,,,,,853.9," ,I",,
UPM00033586,1982,121,I,,,52,I,,,,,,,,,,,,,,,568.6," ,I",,
UPM00033586,1984,128,I,,,61,I,,,,,,,,,,,,,,,660.9," ,I",,
UPM00033586,1985,113,I,,,65,I,,,,,,,,,,,,,,,566.3," ,I",,
UPM00033586,1986,96,I,,,43,I,,,,,,,,,,,,,,,428.3," ,I",,
UPM00033586,1987,110,I,,,51,I,,,,,,,,,,,,,,,485.2," ,I",,
UPM00033586,1988,130,I,,,71,I,,,,,,,,,,,,,,,605.8," ,I",,
UPM00033586,1990,126,I,,,62,I,,,,,,,,,,,,,,,650.9," ,I",,
UPM00033586,2003,,,,,,,,,,,7,u,118,u,49,u,120,u,1,u,,,,
UPM00033587,1961,106,E,,,53,E,,,,,5,E,111,E,52,E,103,E,3,E,483.3," ,E",,
UPM00033587,1962,126,E,,,67,E,,,,,1,E,133,E,52,E,98,E,1,E,552.9," ,E",,
UPM00033587,1963,117,E,,,53,E,,,,,29,E,141,E,89,E,131,E,9,E,531.3," ,E",,
UPM00033587,1964,118,E,,,44,E,,,,,19,E,130,E,78,E,100,E,3,E,419.7," ,E",,
